VFGID,VFID,VFCID
VFG000989,VF0978,VFC0086
VFG000990,VF0118,VFC0086
VFG000991,VF0978,VFC0086
VFG000992,VF0978,VFC0086
VFG000993,VF0118,VFC0086
VFG000994,VF0118,VFC0086
VFG000995,VF0118,VFC0086
VFG000996,VF0118,VFC0086
VFG000997,VF0118,VFC0086
VFG000998,VF0118,VFC0086
VFG000999,VF0118,VFC0086
VFG001000,VF0118,VFC0086
VFG001001,VF0118,VFC0086
VFG001002,VF0118,VFC0086
VFG001003,VF0118,VFC0086
VFG001004,VF0118,VFC0086
VFG001005,VF0118,VFC0086
VFG001006,VF0118,VFC0086
VFG001007,VF0118,VFC0086
VFG001008,VF0118,VFC0086
VFG001009,VF0118,VFC0086
VFG001010,VF0118,VFC0086
VFG001011,VF0118,VFC0086
VFG001012,VF0118,VFC0086
VFG001013,VF0118,VFC0086
VFG001014,VF0118,VFC0086
VFG001015,VF0118,VFC0086
VFG001016,VF0978,VFC0086
VFG001017,VF0122,VFC0251
VFG001089,VF0264,VFC0272
VFG001090,VF0263,VFC0272
VFG001117,VF0621,VFC0251
VFG001142,VF0054,VFC0001
VFG001143,VF0266,VFC0258
VFG001144,VF0036,VFC0001
VFG001145,VF0036,VFC0001
VFG001146,VF0036,VFC0001
VFG001147,VF0036,VFC0001
VFG001148,VF0036,VFC0001
VFG001149,VF0037,VFC0001
VFG001150,VF0039,VFC0001
VFG001151,VF0038,VFC0001
VFG001152,VF0038,VFC0001
VFG001153,VF0038,VFC0001
VFG001154,VF0038,VFC0001
VFG001155,VF0038,VFC0001
VFG001156,VF0038,VFC0001
VFG001205,VF0272,VFC0272
VFG001206,VF0272,VFC0272
VFG001207,VF0082,VFC0001
VFG001208,VF0082,VFC0001
VFG001209,VF0082,VFC0001
VFG001210,VF0082,VFC0001
VFG001211,VF0082,VFC0001
VFG001212,VF0082,VFC0001
VFG001213,VF0082,VFC0001
VFG001214,VF0082,VFC0001
VFG001215,VF0082,VFC0001
VFG001216,VF0082,VFC0001
VFG001217,VF0082,VFC0001
VFG001218,VF0082,VFC0001
VFG001219,VF0082,VFC0001
VFG001220,VF0082,VFC0001
